CODGEO;NBMENFISC19;NBPERSMENFISC19;MED19;PIMP19;TP6019;TP60AGE119;TP60AGE219;TP60AGE319;TP60AGE419;TP60AGE519;TP60AGE619;TP60TOL119;TP60TOL219;PACT19;PTSA19;PCHO19;PBEN19;PPEN19;PPAT19;PPSOC19;PPFAM19;PPMINI19;PPLOGT19;PIMPOT19;D119;D919;RD19
01246;870;2109;22590;58;11;;;;;;;;;68.4;61.1;2.6;4.7;31.3;9.5;5.5;2.6;1.9;1;-14.7;12950;36630;2.8
01247;141;303;28110;;;;;;;;;;;;;;;;;;;;;;;;
01248;860;2301;28060;77;;;;;;;;;;81.8;75.4;2.3;4.1;20;14.1;2.6;1.3;0.8;0.5;-18.5;16650;45750;2.7
01249;3955;9376;24860;67;9;;10;11;;;;;19;78.8;72.4;2.5;3.9;23.7;11.1;4.3;2;1.4;0.9;-17.9;13410;42710;3.2
01250;689;1906;26310;;;;;;;;;;;;;;;;;;;;;;;;
01252;316;848;24980;;;;;;;;;;;;;;;;;;;;;;;;
01254;839;2196;25970;73;;;;;;;;;;78.1;69.7;2.6;5.8;25.7;13.4;3.4;1.7;1.1;0.6;-20.6;16310;44970;2.8
01255;268;632;21410;;;;;;;;;;;;;;;;;;;;;;;;
01257;139;340;26580;;;;;;;;;;;;;;;;;;;;;;;;
01258;468;1235;25410;;;;;;;;;;;;;;;;;;;;;;;;
01259;265;725;23790;;;;;;;;;;;;;;;;;;;;;;;;
01260;107;302;26450;;;;;;;;;;;;;;;;;;;;;;;;
01261;247;678;27120;;;;;;;;;;;;;;;;;;;;;;;;
01262;2916;6868;22780;62;12;;;12;;;;;24;79.4;72.4;2.9;4.1;23.3;7.7;5.8;2.4;2.2;1.2;-16.2;12550;38580;3.1
01263;1599;3818;24320;66;6;;;;;;;;;74.9;69.3;2.2;3.4;28.8;9.9;3.8;1.9;1.2;0.7;-17.4;15090;39360;2.6
01264;401;1011;24080;;;;;;;;;;;;;;;;;;;;;;;;
01265;1531;3580;19770;53;17;;;;;;;;28;73.5;67.8;3.5;2.2;25.9;7.7;7.1;2.9;2.7;1.5;-14.2;11240;32970;2.9
01266;1188;2402;21720;54;10;;;;;;;;;63.3;57.5;2.2;3.6;37;8.2;5.5;1.9;2.4;1.2;-14;13280;32730;2.5
01267;403;998;23400;;;;;;;;;;;;;;;;;;;;;;;;
01268;106;250;23680;;;;;;;;;;;;;;;;;;;;;;;;
01269;1418;3125;17870;49;27;;34;34;;;;;36;70.5;63.1;3.8;3.6;25.7;8.8;9;3.4;3.3;2.3;-14;9410;32390;3.4
01272;646;1456;22300;;;;;;;;;;;;;;;;;;;;;;;;
01273;701;1698;21690;;;;;;;;;;;;;;;;;;;;;;;;
01274;239;604;20050;;;;;;;;;;;;;;;;;;;;;;;;
01275;1006;2532;29160;77;;;;;;;;;;81;72.2;2.6;6.2;23.9;16.9;2.4;1.1;0.9;0.4;-24.2;15810;57300;3.6
01276;541;1488;26110;;;;;;;;;;;;;;;;;;;;;;;;
01277;59;113;23650;;;;;;;;;;;;;;;;;;;;;;;;
01279;;;;;;;;;;;;;;;;;;;;;;;;;;;
01280;78;156;21040;;;;;;;;;;;;;;;;;;;;;;;;
01281;1550;3831;36440;51;16;;;;;;;11;23;89;84.6;2.8;1.6;18.8;7.7;1.6;0.5;0.7;0.4;-17.1;9120;82280;9
01282;101;250;24200;;;;;;;;;;;;;;;;;;;;;;;;
01283;9401;22802;17510;46;27;28;32;35;26;20;12;9;39;67.8;61;4.2;2.6;28.1;8.4;9.8;4;3.6;2.2;-14.1;9600;31000;3.2
01284;273;680;21800;;;;;;;;;;;;;;;;;;;;;;;;
01285;483;1329;28340;;;;;;;;;;;;;;;;;;;;;;;;
01286;407;997;25240;;;;;;;;;;;;;;;;;;;;;;;;
01288;928;2351;39260;54;9;;;;;;;;;94.4;89.7;2.6;2.1;14.1;6.4;1;0.4;0.4;0.2;-15.9;14570;72630;5
01289;2707;6044;23350;63;9;;;;;;;;20;64.3;58.5;2.3;3.5;37.9;9.8;4.4;1.8;1.7;0.9;-16.4;13500;38340;2.8
01290;558;1342;26260;;;;;;;;;;;;;;;;;;;;;;;;
01291;340;847;23280;;;;;;;;;;;;;;;;;;;;;;;;
01293;61;148;24720;;;;;;;;;;;;;;;;;;;;;;;;
01294;358;880;22200;;;;;;;;;;;;;;;;;;;;;;;;
01295;225;641;23140;;;;;;;;;;;;;;;;;;;;;;;;
01296;155;374;22140;;;;;;;;;;;;;;;;;;;;;;;;
01297;329;929;26580;;;;;;;;;;;;;;;;;;;;;;;;
01298;59;141;30220;;;;;;;;;;;;;;;;;;;;;;;;
01299;204;524;23660;;;;;;;;;;;;;;;;;;;;;;;;
01301;1115;2602;23680;66;;;;;;;;;;71.6;63.6;2;6;31.9;9.5;3.7;1.9;1.2;0.6;-16.7;15710;38800;2.5
01302;73;167;26260;;;;;;;;;;;;;;;;;;;;;;;;
01303;744;1658;21520;;;;;;;;;;;;;;;;;;;;;;;;
01304;1167;2765;21650;57;11;;;;;;;;28;77.3;68.3;2.8;6.2;25.6;5.7;6.2;2.8;2.3;1.1;-14.8;12590;34760;2.8
01305;1052;1998;19700;50;14;;;;;;;;20;60.9;54.2;2.7;4;34.9;10.9;7.4;2.1;3.4;1.9;-14.1;12170;32610;2.7
01306;685;1366;20300;;;;;;;;;;;;;;;;;;;;;;;;
01307;376;867;21760;;;;;;;;;;;;;;;;;;;;;;;;
01308;286;668;36390;;;;;;;;;;;;;;;;;;;;;;;;
01309;;;;;;;;;;;;;;;;;;;;;;;;;;;
01310;53;130;23210;;;;;;;;;;;;;;;;;;;;;;;;
01311;;;;;;;;;;;;;;;;;;;;;;;;;;;
01313;3012;7518;41270;51;14;;14;15;16;;;9;22;89.8;84.8;2.9;2.1;15.8;7.6;1.2;0.4;0.5;0.3;-14.4;10010;94110;9.4
01314;718;1748;23320;;;;;;;;;;;;;;;;;;;;;;;;
01317;136;340;23220;;;;;;;;;;;;;;;;;;;;;;;;
01318;255;767;27790;;;;;;;;;;;;;;;;;;;;;;;;
01319;179;465;23610;;;;;;;;;;;;;;;;;;;;;;;;
01320;1580;3929;23510;64;6;;;;;;;;;72.7;66.9;2.6;3.2;28.4;11.2;3.9;2.1;1.1;0.7;-16.2;14910;37520;2.5
01321;337;902;25930;;;;;;;;;;;;;;;;;;;;;;;;
01322;1837;4948;27390;75;5;;;;;;;;;80.2;72;2.9;5.3;22.4;14.4;3.1;1.7;0.9;0.5;-20.1;16370;46540;2.8
01323;401;947;22140;;;;;;;;;;;;;;;;;;;;;;;;
01325;416;1110;25590;;;;;;;;;;;;;;;;;;;;;;;;
01328;195;492;24540;;;;;;;;;;;;;;;;;;;;;;;;
01329;77;145;18800;;;;;;;;;;;;;;;;;;;;;;;;
01330;80;171;23190;;;;;;;;;;;;;;;;;;;;;;;;
01331;77;172;22580;;;;;;;;;;;;;;;;;;;;;;;;
01332;306;795;23600;;;;;;;;;;;;;;;;;;;;;;;;
01333;1417;3390;25260;70;;;;;;;;;;74.1;68.8;2.5;2.8;30.6;8.2;3.5;1.8;1.1;0.6;-16.4;15930;39100;2.5
01334;244;655;23330;;;;;;;;;;;;;;;;;;;;;;;;
01335;132;381;22860;;;;;;;;;;;;;;;;;;;;;;;;
01336;482;1184;22710;;;;;;;;;;;;;;;;;;;;;;;;
01337;521;1289;22080;;;;;;;;;;;;;;;;;;;;;;;;
01338;522;1270;21900;;;;;;;;;;;;;;;;;;;;;;;;
01339;580;1496;31160;;;;;;;;;;;;;;;;;;;;;;;;
01342;194;536;27910;;;;;;;;;;;;;;;;;;;;;;;;
01343;717;1825;22600;;;;;;;;;;;;;;;;;;;;;;;;
01344;2593;6050;24430;67;8;;;;;;;;20;66.5;60.1;1.9;4.5;36.7;9.7;4.4;1.9;1.6;0.9;-17.3;14180;39760;2.8
01345;967;2240;22620;60;;;;;;;;;;68.9;64;2.9;2;32.7;8.7;4.6;2.1;1.7;0.8;-14.9;13950;35540;2.5
01346;345;857;22650;;;;;;;;;;;;;;;;;;;;;;;;
